City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,40,3.44,scattered clouds
1,Dikson,RU,73.5069,80.5464,-8.7,100,96,5.5,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,63.88,90,75,5.75,light intensity drizzle
3,Oskarshamn,SE,57.2645,16.4484,48.99,92,27,5.53,scattered clouds
4,Banda Aceh,ID,5.5577,95.3222,76.01,91,100,8.77,moderate rain
5,Port Elizabeth,ZA,-33.918,25.5701,64.69,89,100,5.75,overcast clouds
6,Inhambane,MZ,-23.865,35.3833,77.45,85,9,9.46,clear sky
7,Hermanus,ZA,-34.4187,19.2345,64.8,87,0,12.35,light rain
8,Busselton,AU,-33.65,115.3333,53.33,75,79,10.92,broken clouds
9,Buncrana,IE,55.1333,-7.45,54.21,86,100,15.23,overcast clouds
10,Wajir,KE,1.7471,40.0573,79.47,64,18,14.54,few clouds
11,Binga,ZW,-17.6203,27.3414,74.95,74,99,1.7,light rain
12,Faya,SA,18.3851,42.4509,57.72,75,12,1.68,few clouds
13,Chuy,UY,-33.6971,-53.4616,68.14,82,100,12.3,overcast clouds
14,Narsaq,GL,60.9167,-46.05,35.82,72,98,8.77,overcast clouds
15,Rehoboth,NA,-23.3167,17.0833,64.2,23,0,10.98,clear sky
16,Ilulissat,GL,69.2167,-51.1,24.82,68,94,3.44,overcast clouds
17,Loukhi,RU,66.0764,33.0381,36.32,91,100,11.77,overcast clouds
18,Sharjah,AE,25.3573,55.4033,82.38,78,0,3.44,clear sky
19,Saint Anthony,US,45.0205,-93.218,28.85,65,100,11.5,overcast clouds
20,Ilebo,CD,-4.3167,20.5833,72.91,80,99,1.21,overcast clouds
21,Vila Velha,BR,-20.3297,-40.2925,78.75,88,75,14.97,broken clouds
22,Talnakh,RU,69.4865,88.3972,-28.1,95,22,3.53,few clouds
23,Kondinskoye,RU,59.6481,67.41,8.76,99,97,2.84,overcast clouds
24,Turukhansk,RU,65.8167,87.9833,-22.97,97,9,5.99,clear sky
25,Ancud,CL,-41.8697,-73.8203,54.77,83,96,7.81,overcast clouds
26,East London,ZA,-33.0153,27.9116,70.5,94,100,10.13,overcast clouds
27,Zaida,PK,34.0603,72.4678,56.14,36,2,3.56,clear sky
28,Bubaque,GW,11.2833,-15.8333,83.12,59,6,8.21,clear sky
29,Luderitz,NA,-26.6481,15.1594,59.05,86,0,9.57,clear sky
30,Port Alfred,ZA,-33.5906,26.891,63.18,97,99,1.99,overcast clouds
31,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,90,35,18.37,scattered clouds
32,Garissa,KE,-0.4536,39.6401,80.49,64,73,10.6,broken clouds
33,Clyde River,CA,70.4692,-68.5914,-10.97,77,0,4.61,clear sky
34,Gobabis,NA,-22.45,18.9667,72.48,14,0,16.73,clear sky
35,Caravelas,BR,-17.7125,-39.2481,76.17,80,72,9.44,broken clouds
36,Bredasdorp,ZA,-34.5322,20.0403,63.36,74,0,16.42,clear sky
37,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,13.8,scattered clouds
38,Najran,SA,17.4924,44.1277,65.05,38,0,2.28,clear sky
39,Nemours,FR,48.2751,2.6908,49.3,78,68,3.91,broken clouds
40,Jamestown,US,42.097,-79.2353,42.39,76,100,8.05,light rain
41,Dwarka,IN,22.2394,68.9678,79.32,49,2,8.48,clear sky
42,Nador,MA,35.174,-2.9287,68.25,73,0,4.61,clear sky
43,Ushuaia,AR,-54.8,-68.3,58.66,33,0,5.75,clear sky
44,Tasiilaq,GL,65.6145,-37.6368,35.76,79,100,20.96,light rain
45,Pozhva,RU,59.0912,56.0847,38.28,99,100,5.84,light rain
46,Bhatkal,IN,13.9667,74.5667,79.79,73,97,7.87,overcast clouds
47,Trairi,BR,-3.2778,-39.2689,79.2,74,17,10.71,few clouds
48,Cabedelo,BR,-6.9811,-34.8339,81.27,81,40,9.08,scattered clouds
49,Ambilobe,MG,-13.2,49.05,76.08,80,85,1.79,overcast clouds
50,Adrar,MR,20.5022,-10.0711,75.2,12,12,9.78,few clouds
51,Altamira,BR,-3.2033,-52.2064,91.49,55,40,0.0,scattered clouds
52,Tyukalinsk,RU,55.8732,72.1967,32.38,99,100,8.63,light snow
53,Saint George,US,37.1041,-113.5841,58.42,25,0,9.22,clear sky
54,Mar Del Plata,AR,-38.0023,-57.5575,67.08,94,100,7.0,thunderstorm with rain
55,Djambala,CG,-2.5447,14.7533,66.47,90,76,0.83,broken clouds
56,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,76.87,75,50,13.76,moderate rain
57,Kemijarvi,FI,66.7131,27.4306,36.77,92,100,11.3,overcast clouds
58,Huanuni,BO,-18.2667,-66.85,56.57,4,0,25.68,clear sky
59,Sinnamary,GF,5.3833,-52.95,80.1,81,100,7.54,overcast clouds
60,San Andres,CO,12.5847,-81.7006,87.82,66,20,5.75,few clouds
61,Pisco,PE,-13.7,-76.2167,69.85,68,0,13.8,clear sky
62,Victoria,HK,22.2855,114.1577,75.94,87,1,1.01,clear sky
63,Oranjemund,NA,-28.55,16.4333,59.77,91,0,3.15,clear sky
64,Nouadhibou,MR,20.931,-17.0347,69.78,88,7,11.5,clear sky
65,Vardo,NO,70.3705,31.1107,39.18,65,100,20.71,overcast clouds
66,Fasa,IR,28.9383,53.6482,61.84,55,0,9.22,clear sky
67,Nyimba,ZM,-14.5566,30.8149,70.75,80,39,3.15,light rain
68,Porbandar,IN,21.6422,69.6093,77.95,44,2,9.42,clear sky
69,Geraldton,AU,-28.7667,114.6,46.81,87,0,6.91,clear sky
70,Diego De Almagro,CL,-26.3667,-70.05,69.69,20,100,9.71,overcast clouds
71,Cayenne,GF,4.9333,-52.3333,80.64,89,75,8.05,broken clouds
72,Canico,PT,32.6333,-16.85,69.71,85,20,4.61,few clouds
73,Hun,LY,29.1268,15.9477,62.74,53,0,3.51,clear sky
74,Hithadhoo,MV,-0.6,73.0833,81.48,72,24,15.97,few clouds
75,Dingle,PH,10.9995,122.6711,75.76,93,45,6.98,scattered clouds
76,Kjollefjord,NO,70.9457,27.3465,39.25,87,20,9.22,few clouds
77,Peniche,PT,39.3558,-9.3811,63.45,86,94,5.93,overcast clouds
78,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,88,40,17.27,scattered clouds
79,The Valley,AI,18.217,-63.0578,84.06,78,40,9.22,scattered clouds
80,Villazon,BO,-22.0866,-65.5942,67.62,2,81,15.68,broken clouds
81,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,12.66,broken clouds
82,Saint-Pierre,RE,-21.3393,55.4781,71.28,64,0,5.75,clear sky
83,Hobyo,SO,5.3505,48.5268,80.98,72,2,13.31,clear sky
84,Bengkulu,ID,-3.8004,102.2655,74.75,94,100,3.44,light rain
85,Rujewa,TZ,-8.7,34.3833,71.53,68,99,2.98,overcast clouds
86,Punta Arenas,CL,-53.15,-70.9167,57.31,51,20,8.05,few clouds
87,Sorland,NO,67.667,12.6934,44.46,74,65,9.84,broken clouds
88,Maniitsoq,GL,65.4167,-52.9,26.92,60,100,1.52,overcast clouds
89,Thinadhoo,MV,0.5333,72.9333,81.16,78,99,15.46,overcast clouds
90,Nanortalik,GL,60.1432,-45.2371,27.36,80,99,4.12,overcast clouds
91,Tres Arroyos,AR,-38.3739,-60.2798,59.25,96,100,9.62,overcast clouds
92,Berlevag,NO,70.8578,29.0864,39.15,81,100,23.02,overcast clouds
93,Aljezur,PT,37.3191,-8.8033,60.75,88,5,2.82,clear sky
94,Akdepe,TM,42.0551,59.3788,32.09,41,98,3.85,overcast clouds
95,Upernavik,GL,72.7868,-56.1549,11.8,85,37,12.53,scattered clouds
96,Rio Gallegos,AR,-51.6226,-69.2181,57.25,35,20,13.8,few clouds
97,Ballina,AU,-28.8667,153.5667,68.77,98,3,9.64,clear sky
98,Sistranda,NO,63.7256,8.834,46.36,81,48,14.09,scattered clouds
99,Qaanaaq,GL,77.484,-69.3632,0.43,68,80,4.0,broken clouds
100,Bilma,NE,18.6853,12.9164,71.33,28,0,9.53,clear sky
101,Susehri,TR,40.1644,38.0867,44.1,84,1,2.62,clear sky
102,Taoudenni,ML,22.6783,-3.9836,78.46,15,0,12.62,clear sky
103,Roald,NO,62.5833,6.1333,54.75,93,40,1.14,light intensity drizzle
104,Mahebourg,MU,-20.4081,57.7,73.69,68,40,3.44,scattered clouds
105,Saint-Philippe,RE,-21.3585,55.7679,71.19,73,0,5.68,clear sky
106,Mungwi,ZM,-10.1732,31.3694,65.86,81,99,1.3,light rain
107,Sept-Iles,CA,50.2001,-66.3821,27.12,90,100,11.5,overcast clouds
108,Ciudad Bolivar,VE,8.1222,-63.5497,86.16,62,99,6.26,light rain
109,Saravena,CO,6.9538,-71.8752,79.72,90,96,1.01,moderate rain
110,Montbrison,FR,45.6667,4.0833,46.74,77,93,1.9,overcast clouds
111,Bati,ET,11.1833,40.0167,62.31,57,0,3.96,clear sky
112,Rocha,UY,-34.4833,-54.3333,68.65,80,100,12.59,overcast clouds
113,Lai,TD,9.3952,16.2989,77.92,34,27,4.45,scattered clouds
114,Pamplona,ES,42.8169,-1.6432,56.98,67,0,5.75,clear sky
115,Darnah,LY,32.767,22.6367,64.51,65,5,2.62,clear sky
116,Oxford,GB,51.7522,-1.256,56.19,91,0,13.8,clear sky
117,Rafsanjan,IR,30.4067,55.9939,54.5,54,82,5.97,broken clouds
118,Coquimbo,CL,-29.9533,-71.3436,64.13,72,75,12.66,broken clouds
119,Acarau,BR,-2.8856,-40.12,79.86,73,74,16.64,broken clouds
120,Paamiut,GL,61.994,-49.6678,22.73,94,100,7.16,light snow
121,Thompson,CA,55.7435,-97.8558,-0.24,85,75,0.0,broken clouds
122,Asyut,EG,27.181,31.1837,64.58,50,3,7.23,clear sky
123,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,10.36,scattered clouds
124,Belvedere Marittimo,IT,39.6179,15.8617,52.12,75,68,9.33,broken clouds
125,Namibe,AO,-15.1961,12.1522,65.1,75,50,11.05,scattered clouds
126,Glace Bay,CA,46.1969,-59.957,63.97,95,100,23.02,light intensity shower rain
127,Belmonte,BR,-15.8631,-38.8828,76.15,81,67,7.92,broken clouds
128,Sandviken,SE,60.6167,16.7667,40.55,82,28,4.43,scattered clouds
129,Saldanha,ZA,-33.0117,17.9442,62.65,91,0,8.81,light rain
